TRIPPURP,EDUC_1,EDUC_2,HHSIZE,ADULT_NO_CHI,ADULT_CHI_15,ADULT_CHI_21,PRMACT_ABSENSE,PRMACT_HOMEMAKER,PRMACT_UNEMP,PRMACT_RETIRED,PRMACT_SCHOOL,R_AGE_IMP,R_SEX_IMP_NEW,STRTTIME_MORNING,STRTTIME_MORNING_PEAK,STRTTIME_NOON,STRTTIME_AFTERNOON,STRTTIME_EVENING_PEAK,TRAVDAY_SUN,TRAVDAY_MON,TRAVDAY_TUE,TRAVDAY_THU,TRAVDAY_SAT,TRPHHACC,WHYTRP1S_WORK,WHYTRP1S_SCHOOL,WHYTRP1S_MEDICAL,WHYTRP1S_SHOP,WHYTRP1S_SOCIAL,WHYTRP1S_PICK,WHYTRP1S_MEAL,WRKCOUNT,CNTTDTR,CONDNIGH_NEW,CONDPUB_NEW,CONDRIDE_NEW,CONDRIVE_NEW,CONDTRAV_NEW,FLEXTIME_NEW,GT1JBLWK_NEW,HEALTH,MEDCOND_NEW,OCCAT_SERVICE,OCCAT_CLERICAL,OCCAT_MANU,PHYACT,SCHTYP_PUBLIC,WKFTPT_FULL,SPHONE_HIGH,WALK_HIGH
1,0.0,0.0,0.16666666666666669,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.34883720930232553,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7906976744186046,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0
1,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8953488372093023,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061225,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686046511627907,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16326530612244897,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
1,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34883720930232553,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0
1,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6627906976744186,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7441860465116279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26530612244897955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5697674418604651,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
3,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20930232558139533,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0
2,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6395348837209303,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
